Company,Ticker,Shares Outstanding,Market Cap
Micron Technology Inc,MU,"1,037,456,000.00","11,152,652,000.00"
Microsoft Corp,MSFT,"7,909,303,000.00","394,436,940,610.00"
Mohawk Industries Inc,MHK,"73,957,000.00","14,246,336,910.00"
Molson Coors Brewing Co B,TAP,"208,895,000.00","19,976,628,850.00"
Mondelez International Inc,MDLZ,"1,568,858,000.00","67,398,139,680.00"
Monsanto Co.,MON,"440,355,000.00","41,252,456,400.00"
Monster Beverage Corp New,MNST,"202,920,000.00","29,265,122,400.00"
Moody's Corp,MCO,"194,900,000.00","18,655,828,000.00"
Morgan Stanley,MS,"1,958,569,000.00","52,998,877,140.00"
Mosaic Co,MOS,"352,516,000.00","9,866,922,840.00"
Motorola Solutions Inc,MSI,"174,338,000.00","13,108,474,220.00"
Murphy Oil Corp,MUR,"172,034,000.00","6,148,495,160.00"
Mylan NV,MYL,"490,688,000.00","20,466,596,480.00"
NIKE Inc B,NKE,"1,349,897,000.00","79,562,929,180.00"
NRG Energy,NRG,"314,891,000.00","4,754,854,100.00"
Nasdaq Inc,NDAQ,"163,888,000.00","10,113,528,480.00"
National Oilwell Varco Inc,NOV,"375,801,000.00","13,543,868,040.00"
Navient Corp,NAVI,"342,817,000.00","4,686,308,390.00"
NetApp Inc,NTAP,"289,083,000.00","6,833,922,120.00"
NetFlix Inc,NFLX,"428,080,000.00","38,540,042,400.00"
Newell Brands Inc,NWL,"456,758,972.00","20,800,803,584.88"
Newfield Exploration Co,NFX,"198,133,000.00","7,182,321,250.00"
Newmont Mining Corp,NEM,"529,162,000.00","18,504,795,140.00"
News Corp A,NWSA,"379,983,000.00","4,719,388,860.00"
News Corp B,NWS,"199,630,000.00","2,587,204,800.00"
NextEra Energy Inc,NEE,"460,600,000.00","54,157,348,000.00"
Nielsen Holdings plc,NLSN,"361,879,000.00","18,868,371,060.00"
Nisource Inc,NI,"319,742,000.00","7,261,340,820.00"
Noble Energy Inc,NBL,"428,843,000.00","15,485,520,730.00"
Nordstrom Inc,JWN,"173,500,000.00","8,871,055,000.00"
Norfolk Southern Corp,NSC,"298,199,000.00","26,870,711,890.00"
Northern Trust Corp (IL),NTRS,"228,984,000.00","16,276,182,720.00"
Northrop Grumman Corp,NOC,"180,943,000.00","37,321,303,180.00"
Nucor Corp,NUE,"317,941,000.00","15,827,102,980.00"
Nvidia Corp,NVDA,"538,000,000.00","19,115,140,000.00"
O'Reilly Automotive,ORLY,"97,189,000.00","25,529,606,520.00"
ONEOK Inc,OKE,"209,990,000.00","7,591,138,500.00"
Occidental Petroleum,OXY,"763,845,000.00","58,548,719,250.00"
Omnicom Group,OMC,"239,591,000.00","19,878,865,270.00"
Oracle Corp,ORCL,"4,201,220,000.00","167,460,629,200.00"
Owens-Illinois Inc,OI,"160,982,000.00","2,971,727,720.00"
PACCAR Inc,PCAR,"351,359,000.00","20,698,558,690.00"
PG&E Corporation,PCG,"492,830,000.00","28,682,706,000.00"
PNC Finl Services Group,PNC,"501,105,000.00","43,986,996,900.00"
PPG Industries Inc,PPG,"266,766,000.00","29,448,298,740.00"
PPL Corp,PPL,"673,857,000.00","25,363,977,480.00"
PVH Corp,PVH,"81,946,000.00","7,834,037,600.00"
Parker-Hannifin Corp,PH,"135,103,000.00","15,674,650,060.00"
Patterson Cos Inc,PDCO,"99,430,000.00","4,310,290,500.00"
PayPal Holdings Inc.,PYPL,"1,222,676,000.00","47,904,445,680.00"
Paychex Inc,PAYX,"360,946,000.00","18,812,505,520.00"
Pentair PLC,PNR,"182,442,000.00","10,596,231,360.00"
People's United Financial Inc,PBCT,"310,440,000.00","4,811,820,000.00"
PepsiCo Inc,PEP,"1,445,413,000.00","148,819,722,480.00"
PerkinElmer Inc,PKI,"109,789,000.00","5,535,561,380.00"
Perrigo Company plc,PRGO,"146,402,000.00","14,152,681,340.00"
Pfizer Inc,PFE,"6,048,140,000.00","197,834,659,400.00"
Philip Morris International,PM,"1,549,347,000.00","152,021,927,640.00"
Phillips 66,PSX,"527,460,000.00","43,309,740,600.00"
Pinnacle West Capital (AZ),PNW,"111,005,000.00","8,064,513,250.00"
Pioneer Natural Resources,PXD,"163,267,000.00","27,118,648,700.00"
Pitney Bowes Inc,PBI,"191,561,000.00","4,017,034,170.00"
Praxair Inc,PX,"284,836,000.00","33,456,836,560.00"
Principal Financial Group,PFG,"291,626,000.00","12,446,597,680.00"
ProLogis Inc,PLD,"524,774,000.00","23,829,987,340.00"
Procter & Gamble,PG,"2,652,566,000.00","212,523,587,920.00"
Progressive Corp,PGR,"584,328,000.00","19,049,092,800.00"
Prudential Financial Inc,PRU,"446,000,000.00","34,627,440,000.00"
Public Service Enterprise Grp,PEG,"506,435,000.00","23,361,846,550.00"
Public Storage,PSA,"173,269,000.00","42,417,983,890.00"
Pulte Group Inc,PHM,"349,148,000.00","6,420,831,720.00"
QUALCOMM Inc,QCOM,"1,494,887,000.00","75,521,691,240.00"
"Qorvo, Inc",QRVO,"129,105,000.00","5,813,598,150.00"
Quanta Services Inc,PWR,"159,783,000.00","3,790,052,760.00"
Quest Diagnostics,DGX,"142,759,000.00","10,731,194,030.00"
Ralph Lauren Corp A,RL,"58,133,000.00","5,418,576,930.00"
Range Resources Corp,RRC,"169,586,000.00","7,480,438,460.00"
Raytheon Co,RTN,"298,998,000.00","37,778,397,300.00"
Realty Income Corp,O,"250,417,000.00","14,824,686,400.00"
Red Hat Inc,RHT,"182,625,000.00","13,399,196,250.00"
Regeneron Pharmaceuticals Inc,REGN,"102,735,000.00","38,701,301,850.00"
Regions Financial Corp,RF,"1,287,827,000.00","12,079,817,260.00"
Republic Services Inc,RSG,"344,870,000.00","16,233,030,900.00"
Reynolds American Inc,RAI,"1,427,340,000.00","70,796,064,000.00"
Robert Half Intl Inc,RHI,"131,157,000.00","5,024,624,670.00"
Rockwell Automation Inc,ROK,"131,423,000.00","14,912,567,810.00"
Rockwell Collins,COL,"131,131,000.00","11,564,442,890.00"
"Roper Technologies, Inc",ROP,"101,065,000.00","17,796,535,850.00"
Ross Stores Inc,ROST,"405,005,000.00","22,996,183,900.00"
Royal Caribbean Cruises Ltd,RCL,"217,409,000.00","16,827,456,600.00"
Ryder System Inc,R,"53,494,000.00","3,686,806,480.00"
S&P Global Inc,SPGI,"265,300,000.00","28,347,305,000.00"
SCANA Corp,SCG,"142,917,000.00","9,816,968,730.00"
SL Green Realty Corp,SLG,"100,055,000.00","10,513,779,400.00"
Salesforce.com,CRM,"670,900,000.00","50,854,220,000.00"
SanDisk Corp,SNDK,"201,014,000.00","15,102,181,820.00"
Schein Henry Inc,HSIC,"81,942,000.00","13,823,615,400.00"
Schlumberger Ltd,SLB,"1,390,411,884.00","111,705,690,760.56"
Schwab Charles Corp,SCHW,"1,320,523,000.00","37,516,058,430.00"
Scripps Networks Interactive A,SNI,"94,864,000.00","5,914,770,400.00"
Seagate Technology,STX,"296,422,000.00","6,453,106,940.00"
Sealed Air Corp,SEE,"195,990,000.00","9,282,086,400.00"
Sempra Energy,SRE,"248,208,000.00","25,652,296,800.00"
Sherwin-Williams Co,SHW,"92,270,000.00","26,510,093,700.00"
Signet Jewelers Ltd,SIG,"79,532,000.00","8,633,993,920.00"
